id,code,name,active
cat_019_14108,14108,"Maquilado de prendas de vestir, accesorios y otros",TRUE
cat_019_14109,14109,Fabricación de prendas y accesorios de vestir n.c.p.,TRUE
cat_019_14200,14200,Fabricación de artículos de piel,TRUE
cat_019_14301,14301,"Fabricación de calcetines, calcetas, medias (panty house) y otros similares",TRUE
cat_019_14302,14302,Fabricación de ropa interior de tejido de punto,TRUE
cat_019_14309,14309,Fabricación de prendas de vestir de tejido de punto ncp,TRUE
cat_019_15110,15110,Curtido y adobo de cueros; adobo y teñido de pieles,TRUE
cat_019_15121,15121,"Fabricación de maletas, bolsos de mano y otros artículos de marroquinería",TRUE
cat_019_15122,15122,"Fabricación de monturas, accesorios y vainas talabartería",TRUE
cat_019_15123,15123,Fabricación de artesanías principalmente de cuero natural y sintético,TRUE
cat_019_15128,15128,"Maquilado de artículos de cuero natural, sintético y de otros materiales",TRUE
cat_019_15201,15201,Fabricación de calzado,TRUE
cat_019_15202,15202,Fabricación de partes y accesorios de calzado,TRUE
cat_019_15208,15208,Maquilado de partes y accesorios de calzado,TRUE
cat_019_16100,16100,Aserradero y acepilladura de madera,TRUE
cat_019_16210,16210,"Fabricación de madera laminada, terciada, enchapada y contrachapada, paneles para la construcción",TRUE
cat_019_16220,16220,Fabricación de partes y piezas de carpintería para edificios y construcciones,TRUE
cat_019_16230,16230,Fabricación de envases y recipientes de madera,TRUE
cat_019_16292,16292,"Fabricación de artesanías de madera, semillas, materiales trenzables",TRUE
cat_019_16299,16299,"Fabricación de productos de madera, corcho, paja y materiales trenzables ncp",TRUE
cat_019_17010,17010,"Fabricación de pasta de madera, papel y cartón",TRUE
cat_019_17020,17020,Fabricación de papel y cartón ondulado y envases de papel y cartón,TRUE
cat_019_17091,17091,Fabricación de artículos de papel y cartón de uso personal y doméstico,TRUE
cat_019_17092,17092,Fabricación de productos de papel ncp,TRUE
cat_019_18110,18110,Impresión,TRUE
cat_019_18120,18120,Servicios relacionados con la impresión,TRUE
cat_019_18200,18200,Reproducción de grabaciones,TRUE
cat_019_19100,19100,Fabricación de productos de hornos de coque,TRUE
cat_019_19201,19201,Fabricación de combustible,TRUE
cat_019_19202,19202,Fabricación de aceites y lubricantes,TRUE
cat_019_20111,20111,Fabricación de materias primas para la fabricación de colorantes,TRUE
cat_019_20112,20112,Fabricación de materiales curtientes,TRUE
cat_019_20113,20113,Fabricación de gases industriales,TRUE
cat_019_20114,20114,Fabricación de alcohol etílico,TRUE
cat_019_20119,20119,Fabricación de sustancias químicas básicas,TRUE
cat_019_20120,20120,Fabricación de abonos y fertilizantes,TRUE
cat_019_20130,20130,Fabricación de plástico y caucho en formas primarias,TRUE
cat_019_20210,20210,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,TRUE
cat_019_20220,20220,"Fabricación de pinturas, barnices y productos de revestimiento similares; tintas de imprenta y masillas",TRUE
cat_019_20231,20231,"Fabricación de jabones, detergentes y similares para limpieza",TRUE
cat_019_20232,20232,"Fabricación de perfumes, cosméticos y productos de higiene y cuidado personal, incluyendo tintes, champú, etc.",TRUE
cat_019_20291,20291,Fabricación de tintas y colores para escribir y pintar; fabricación de cintas para impresoras,TRUE
cat_019_20292,20292,"Fabricación de productos pirotécnicos, explosivos y municiones",TRUE
cat_019_20299,20299,Fabricación de productos químicos n.c.p.,TRUE
cat_019_20300,20300,Fabricación de fibras artificiales,TRUE
cat_019_21001,21001,"Manufactura de productos farmacéuticos, sustancias químicas y productos botánicos",TRUE
cat_019_21008,21008,Maquilado de medicamentos,TRUE
cat_019_22110,22110,Fabricación de cubiertas y cámaras; renovación y recauchutado de cubiertas,TRUE
cat_019_22190,22190,Fabricación de otros productos de caucho,TRUE
cat_019_22201,22201,Fabricación de envases plásticos,TRUE
cat_019_22202,22202,Fabricación de productos plásticos para uso personal o doméstico,TRUE
cat_019_22208,22208,Maquila de plásticos,TRUE
cat_019_22209,22209,Fabricación de productos plásticos n.c.p.,TRUE
cat_019_23101,23101,Fabricación de vidrio,TRUE
cat_019_23102,23102,Fabricación de recipientes y envases de vidrio,TRUE
cat_019_23108,23108,Servicio de maquilado,TRUE
cat_019_23109,23109,Fabricación de productos de vidrio ncp,TRUE
cat_019_23910,23910,Fabricación de productos refractarios,TRUE
cat_019_23920,23920,Fabricación de productos de arcilla para la construcción,TRUE
cat_019_23931,23931,Fabricación de productos de cerámica y porcelana no refractaria,TRUE
cat_019_23932,23932,Fabricación de productos de cerámica y porcelana ncp,TRUE
cat_019_23940,23940,"Fabricación de cemento, cal y yeso",TRUE
cat_019_23950,23950,"Fabricación de artículos de hormigón, cemento y yeso",TRUE
cat_019_23960,23960,"Corte, tallado y acabado de la piedra",TRUE
cat_019_23990,23990,Fabricación de productos minerales no metálicos ncp,TRUE
cat_019_24100,24100,Industrias básicas de hierro y acero,TRUE
cat_019_24200,24200,Fabricación de productos primarios de metales preciosos y metales no ferrosos,TRUE
cat_019_24310,24310,Fundición de hierro y acero,TRUE
cat_019_24320,24320,Fundición de metales no ferrosos,TRUE
cat_019_25111,25111,Fabricación de productos metálicos para uso estructural,TRUE
cat_019_25118,25118,Servicio de maquila para la fabricación de estructuras metálicas,TRUE
cat_019_25120,25120,"Fabricación de tanques, depósitos y recipientes de metal",TRUE
cat_019_25130,25130,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central",TRUE
cat_019_25200,25200,Fabricación de armas y municiones,TRUE
cat_019_25910,25910,"Forjado, prensado, estampado y laminado de metales; pulvimetalurgia",TRUE
cat_019_25920,25920,Tratamiento y revestimiento de metales,TRUE
cat_019_25930,25930,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",TRUE
cat_019_25991,25991,Fabricación de envases y artículos conexos de metal,TRUE
cat_019_25992,25992,Fabricación de artículos metálicos de uso personal y/o doméstico,TRUE
cat_019_25999,25999,Fabricación de productos elaborados de metal ncp,TRUE
cat_019_26100,26100,Fabricación de componentes electrónicos,TRUE
cat_019_26200,26200,Fabricación de computadoras y equipo conexo,TRUE
cat_019_26300,26300,Fabricación de equipo de comunicaciones,TRUE
cat_019_26400,26400,"Fabricación de aparatos electrónicos de consumo para audio, video radio y televisión",TRUE
cat_019_26510,26510,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y de control de procesos industriales",TRUE
cat_019_26520,26520,Fabricación de relojes y piezas de relojes,TRUE
cat_019_26600,26600,Fabricación de equipo médico de irradiación y equipo electrónico de uso médico y terapéutico,TRUE
cat_019_26700,26700,Fabricación de instrumentos de óptica y equipo fotográfico,TRUE
cat_019_26800,26800,Fabricación de medios magnéticos y ópticos,TRUE
cat_019_27100,27100,"Fabricación de motores, generadores, transformadores eléctricos, aparatos de distribución y control de electricidad",TRUE
cat_019_27200,27200,"Fabricación de pilas, baterías y acumuladores",TRUE
cat_019_27310,27310,Fabricación de cables de fibra óptica,TRUE
cat_019_27320,27320,Fabricación de otros hilos y cables eléctricos,TRUE
cat_019_27330,27330,Fabricación de dispositivos de cableados,TRUE
cat_019_27400,27400,Fabricación de equipo eléctrico de iluminación,TRUE
cat_019_27500,27500,Fabricación de aparatos de uso doméstico,TRUE
cat_019_27900,27900,Fabricación de otros tipos de equipo eléctrico,TRUE
cat_019_28110,28110,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas",TRUE
cat_019_28120,28120,Fabricación de equipo hidráulico,TRUE
cat_019_28130,28130,"Fabricación de otras bombas, compresores, grifos y válvulas",TRUE
cat_019_28140,28140,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión",TRUE
cat_019_28150,28150,Fabricación de hornos y quemadores,TRUE
cat_019_28160,28160,Fabricación de equipo de elevación y manipulación,TRUE
cat_019_28170,28170,Fabricación de maquinaria y equipo de oficina,TRUE
cat_019_28180,28180,Fabricación de herramientas manuales,TRUE
cat_019_28190,28190,Fabricación de otros tipos de maquinaria de uso general,TRUE
cat_019_28210,28210,Fabricación de maquinaria agropecuaria y forestal,TRUE
cat_019_28220,28220,Fabricación de máquinas para conformar metales y maquinaria herramienta,TRUE
cat_019_28230,28230,Fabricación de maquinaria metalúrgica,TRUE
cat_019_28240,28240,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción,TRUE
